scenario,round,active_n,beam,rebuild_recall,committed_recall,delta,rebuild_seconds,update_commit_seconds
delete_only,1,59940,32,0.99896000,0.99878000,-0.00018000,13.435,0.753
delete_only,1,59940,64,0.99959000,0.99961000,0.00002000,13.435,0.753
delete_only,1,59940,128,0.99981000,0.99973000,-0.00008000,13.435,0.753
delete_only,1,59940,256,0.99992000,0.99987000,-0.00005000,13.435,0.753
delete_only,2,59880,32,0.99897000,0.99879000,-0.00018000,13.652,0.658
delete_only,2,59880,64,0.99966000,0.99961000,-0.00005000,13.652,0.658
delete_only,2,59880,128,0.99985000,0.99973000,-0.00012000,13.652,0.658
delete_only,2,59880,256,0.99989000,0.99987000,-0.00002000,13.652,0.658
delete_only,3,59820,32,0.99895000,0.99879000,-0.00016000,14.006,0.767
delete_only,3,59820,64,0.99963000,0.99961000,-0.00002000,14.006,0.767
delete_only,3,59820,128,0.99988000,0.99973000,-0.00015000,14.006,0.767
delete_only,3,59820,256,0.99994000,0.99987000,-0.00007000,14.006,0.767
delete_only,4,59760,32,0.99894000,0.99879000,-0.00015000,15.927,0.849
delete_only,4,59760,64,0.99959000,0.99961000,0.00002000,15.927,0.849
delete_only,4,59760,128,0.99982000,0.99973000,-0.00009000,15.927,0.849
delete_only,4,59760,256,0.99992000,0.99987000,-0.00005000,15.927,0.849
delete_only,5,59700,32,0.99890000,0.99877000,-0.00013000,14.308,0.771
delete_only,5,59700,64,0.99966000,0.99958000,-0.00008000,14.308,0.771
delete_only,5,59700,128,0.99982000,0.99973000,-0.00009000,14.308,0.771
delete_only,5,59700,256,0.99991000,0.99987000,-0.00004000,14.308,0.771
insert_only,1,45060,32,0.99917000,0.99921000,0.00004000,10.390,0.615
insert_only,1,45060,64,0.99968000,0.99972000,0.00004000,10.390,0.615
insert_only,1,45060,128,0.99993000,0.99989000,-0.00004000,10.390,0.615
insert_only,1,45060,256,0.99999000,0.99996000,-0.00003000,10.390,0.615
insert_only,2,45120,32,0.99891000,0.99921000,0.00030000,10.327,0.576
insert_only,2,45120,64,0.99969000,0.99969000,0.00000000,10.327,0.576
insert_only,2,45120,128,0.99989000,0.99987000,-0.00002000,10.327,0.576
insert_only,2,45120,256,0.99994000,0.99996000,0.00002000,10.327,0.576
insert_only,3,45180,32,0.99916000,0.99918000,0.00002000,10.879,0.471
insert_only,3,45180,64,0.99977000,0.99969000,-0.00008000,10.879,0.471
insert_only,3,45180,128,0.99991000,0.99987000,-0.00004000,10.879,0.471
insert_only,3,45180,256,0.99996000,0.99996000,0.00000000,10.879,0.471
insert_only,4,45240,32,0.99913000,0.99919000,0.00006000,10.386,0.503
insert_only,4,45240,64,0.99966000,0.99968000,0.00002000,10.386,0.503
insert_only,4,45240,128,0.99991000,0.99986000,-0.00005000,10.386,0.503
insert_only,4,45240,256,0.99995000,0.99996000,0.00001000,10.386,0.503
insert_only,5,45300,32,0.99918000,0.99920000,0.00002000,10.076,0.448
insert_only,5,45300,64,0.99972000,0.99968000,-0.00004000,10.076,0.448
insert_only,5,45300,128,0.99990000,0.99985000,-0.00005000,10.076,0.448
insert_only,5,45300,256,0.99994000,0.99996000,0.00002000,10.076,0.448
mixed,1,45000,32,0.99917000,0.99893000,-0.00024000,9.568,0.905
mixed,1,45000,64,0.99973000,0.99976000,0.00003000,9.568,0.905
mixed,1,45000,128,0.99990000,0.99989000,-0.00001000,9.568,0.905
mixed,1,45000,256,0.99995000,0.99996000,0.00001000,9.568,0.905
mixed,2,45000,32,0.99912000,0.99891000,-0.00021000,9.720,0.594
mixed,2,45000,64,0.99971000,0.99974000,0.00003000,9.720,0.594
mixed,2,45000,128,0.99987000,0.99988000,0.00001000,9.720,0.594
mixed,2,45000,256,0.99992000,0.99996000,0.00004000,9.720,0.594
mixed,3,45000,32,0.99920000,0.99892000,-0.00028000,9.554,0.571
mixed,3,45000,64,0.99969000,0.99975000,0.00006000,9.554,0.571
mixed,3,45000,128,0.99983000,0.99986000,0.00003000,9.554,0.571
mixed,3,45000,256,0.99992000,0.99997000,0.00005000,9.554,0.571
mixed,4,45000,32,0.99933000,0.99890000,-0.00043000,9.681,0.690
mixed,4,45000,64,0.99978000,0.99973000,-0.00005000,9.681,0.690
mixed,4,45000,128,0.99987000,0.99986000,-0.00001000,9.681,0.690
mixed,4,45000,256,0.99996000,0.99997000,0.00001000,9.681,0.690
mixed,5,45000,32,0.99911000,0.99892000,-0.00019000,9.750,0.570
mixed,5,45000,64,0.99974000,0.99973000,-0.00001000,9.750,0.570
mixed,5,45000,128,0.99988000,0.99986000,-0.00002000,9.750,0.570
mixed,5,45000,256,0.99994000,0.99997000,0.00003000,9.750,0.570
